,id,Post,toxic,severe_toxic,obscene,threat,insult,identity_hate,class,sum
47012,7d9a493d304f1b70,zionist jewbastard khazar turks love filibuster draw tragedy conclusion right allow issue right editorialise content medium mogul jackasse stay london new york washington hollywood fuck america stop drag stupid affair muslims deserve hope die suicide bomb economically torture muslims middle east helen clark shite swear fuck kill israel nuke sign jew manhattan project level eulogy theodore herzl irony die product hand fear life fuck cold war mad scientist loan shark fuck trash goddamn decency europe america wanderer gypsy sense love people stick land settle thing away leave rachel corrie respect dead goy puppet pay hope personally die tay sachs bio weapon plague infest lot death michael medveds adam sandlers bob dylans shove arsis disraelis kerrys rothschilds greenspans ruin life bring disrepute white male rewrite history fuck church school culture war kill mckinley romanovs fuck sigmund freud ron jeremy ruth westheimer pervert terrorist kill fuck howard stern jerry seinfeld eugene levy garbage well semite muslims anti semitic hypocrite feature greed barbarism read massacre clifford tower york castle hope ritual child abuse mutilate baby genital labia removal savage civilisation bloodsucke leech hold host virus fake friend bugsy siegel industry kosher racketeer genocidist david slew goliath palestine reject ones monopoly suffer,1,0,0,0,0,0,toxic,1
47015,7d9bc00b3374a850,poopie pant poop pant squish squish squish squish thurphftp stop poopie pant,1,0,0,0,0,0,toxic,1
47059,7dba157607b9cec6,irony staement scale general incivility check time hand sic check pornography obsess check dear dear learn yeah obviously sock look spa submission think offensive sock,1,0,0,0,0,0,toxic,1
47074,7dc3c0ed573e0f9d,edit suck revert edit contribute positively article serve need crusaders case point comment suck revert immediately practice write honestly edit submit miss spot edit submit mention edit comment see original dig history need warn excuse nonsense want silence defend ideologically motivate violation report get badge practice litter user page spurious warn earn honor person text erase sight talk page stalker guilty party response sufficient like objective party respond abusive block,1,0,0,0,0,0,toxic,1
47094,7dcd6774b0580544,mod problem user page list page user block article edit etc etc history stalk troll abusive bullshit loser need brag troll wiki block user try site well place stuff secret expose troll loser simply block able talk talk page guess person personal talk page edit need factual user fact page talk page talk troll clearly want discussion revolve abuse privilege admin right people see away little jpg badge think real life worthless like rest world good know guy immature childish irrelevant troll absolutely resemble real life,1,0,0,0,0,0,toxic,1
47176,7dfecfdcb8cd3c92,hate anime hate anime,1,0,0,0,0,0,toxic,1
47194,7e0c5c207601a9d9,wtf checkuser say sockpuppet absolutely brilliant thank mackensen,1,0,0,0,0,0,toxic,1
47195,7e0d086cefc17924,fag advice later,1,0,0,0,0,0,toxic,1
47215,7e1ccbee3ce91207,agree user darcyj need polish english mispell simple word write ignore ignor similiar expect effective editor write grammatically spell correct fashion second big hypocrite claim indian administrators predijuice play pakistani wikipedian highly racist person say bengali ragib foreigner belong pakistani edit page isnt predijuice remind pal say deregatory thing india talk page recall pakistani north migranted indian,1,0,0,0,0,0,toxic,1
47236,7e2c74be1bf603da,say sir thomas moore think pedigree bitch get wall,1,0,0,0,0,0,toxic,1
47246,7e325279ad13f524,warn warn driger inappropreate thing hear know info explain specificlly talkpage inappropreate wikipedia rule break rule rule break make rash judgement sorry anger stupid admin massive heroic douche make people life mizzary cuz well masturbate hard think bill clinton,1,0,0,0,0,0,toxic,1
47273,7e458d49ede108a9,edit fine people lose shame,1,0,0,0,0,0,toxic,1
47356,7e831694893367f1,niteshit egotistical fool reason wikipedia allow college class take seriously know cite page know wikipedia smart insult innapropriate want denegrate people denegrate right shit head want act adult act real editor help newcomer cite correctly job editor help people attack continue edit text like tuff tiiti,1,0,0,0,0,0,toxic,1
47362,7e866a7da7821146,lmao say give ban expiry thing ban till jan perm ban mean constructive edit nice way contradict thank ignore debate ban middle debate ban warn vandalism deep purple fuck vandalism need know bullshit sockpuppet say vandalise wikipedia deep purple block immetidely spell sock puppet ban immeditley reverse edit sock puppet say bolde logical answer vandalise band article know deep purple,1,0,0,0,0,0,toxic,1
47383,7e90a4857e5ea701,win hahahahahahahahahah think easy matter thing happen resign die choose carefully,1,0,0,0,0,0,toxic,1
47439,7eba065dcf35ed2b,august utc write putrid filth take shower insist ignore conclusive archaeological evidence cyrus cylinder continue talk side mouth ridiculously simple arithmetic seriously favor powder talk,1,0,0,0,0,0,toxic,1
47485,7eda4918624235f4,user nat piece shit ignore,1,0,0,0,0,0,toxic,1
47512,7ef00e6b221e8f5e,honestly play game game lame honestly play,1,0,0,0,0,0,toxic,1
47529,7ef795d22537fd68,personal attack doesnt offend know wanna split hairs report personally attack dont follow mindless rule prove infringe someones right stay,1,0,0,0,0,0,toxic,1
47567,7f129a8c788dd2fe,thou shalt ravish buttock sure hurtin,1,0,0,0,0,0,toxic,1
47574,7f1aabaf2d8bc0e3,delete kory sherman aid,1,0,0,0,0,0,toxic,1
47604,7f2cab91dd44d597,mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo retardmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotmongo tell wtc mongo mongo tell wtc mongo moronmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotjiggaboomongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo retardmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotkikeniggermongo tell wtc mongo mongo tell wtc mongo faggotmongo tell wtc mongo jewfaggotmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo retardmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotmongo tell wtc mongo mongo tell wtc mongo moronmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotjiggaboomongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo retardmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotkikeniggermongo tell wtc mongo mongo tell wtc mongo faggotmongo tell wtc mongo jewfaggotmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo faggotmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo retardmongo tell wtc mongo mongo tell wtc mongo mongo tell wtc mongo tell,1,0,0,0,0,0,toxic,1
47627,7f3bd293f2fb4b71,flame stupid,1,0,0,0,0,0,toxic,1
47635,7f4397fc1d165bb8,nope kill hunger good english starve death perfect translation морити,1,0,0,0,0,0,toxic,1
47643,7f4b889aedb4475a,fart dont smell,1,0,0,0,0,0,toxic,1
47673,7f5c6bbfcec89c4c,fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart realize need ban fart,1,0,0,0,0,0,toxic,1
47681,7f5fdb7fc69993f1,join revolution fight freedom speech tyranny wikipedian administrator especially evil dark lord fuck head kafziel fellow block freedom fighter ability express ernesto guevara serna hasta victoria siempre,1,0,0,0,0,0,toxic,1
47708,7f7709c008c1c5d2,nutshell stupid question bad idea page yes bad idea talk absolutely suitable uncyclopedia,1,0,0,0,0,0,toxic,1
47709,7f779dd21b987c20,tan wikipedia worker tan hell grow ball girlfriend spend life wikipedia,1,0,0,0,0,0,toxic,1
47716,7f7a4afe56fe37b9,liar burn hell salvation,1,0,0,0,0,0,toxic,1
47736,7f8693bec846cb25,chairmanofall brainless child chairmanofall,1,0,0,0,0,0,toxic,1
47747,7f8b9a432ece182f,dare hide hidey claim chinese crap dare actually come evidence false claim publicly proof rebutt single argument claim korean yeah liar korean attack korea pay tribute force erect humiliate column honor turn hermit kingdom dare reply,1,0,0,0,0,0,toxic,1
47828,7fc3a3e3f801388b,think tit,1,0,0,0,0,0,toxic,1
47830,7fc4e74e0dc68193,bait abuse authority completely justifiable force violate wiki policy extend invitation responsible take step repeatedly mary total disgrace wiki community pick fight act like look like win schoolayard bully teacher know good way deal bully life hell stop,1,0,0,0,0,0,toxic,1
47832,7fc67e60f0a4e17d,understand talk edit diary dead piss funny,1,0,0,0,0,0,toxic,1
47863,7fe123c1bfe9dfb7,david wow rob bank jack car truck kinda pointless hahahahahahaha church stink,1,0,0,0,0,0,toxic,1
47976,802f448c017719a3,listen hump quit vandalize,1,0,0,0,0,0,toxic,1
47989,80379832c07986c1,disagree crazy sonofabitch condemn suu kyii lifetime imprisonment foolish action let leave page monument religion drive people insane,1,0,0,0,0,0,toxic,1
47990,8037cb5fb8e2cf93,liar aliar state fact vandalism obsess state fallacy sheer stupidity justify deceitful,1,0,0,0,0,0,toxic,1
48002,803caa1a52566028,rogue admin want let know people like little power wikipedia work way rid day number,1,0,0,0,0,0,toxic,1
48014,8042fe551cb9134d,decausa idiot talk origin kurds kurds heterogeneous people statement need read write thoroughly wikipedia crap give link statement josh page know write fact ask write talk page wikipedia refer kurdish language sense kurd know talk reliable source refer kurdish language fact write kurdish language see wikipedia information study act information get fact people allow change information create problem allow look proposal jump post proposal hour ago,1,0,0,0,0,0,toxic,1
48051,80583b49a4bdd7ce,block user wikipedia right vandalize,1,0,0,0,0,0,toxic,1
48084,8075075dc038ab7c,possibly ugly speciman male,1,0,0,0,0,0,toxic,1
48088,80792d48a40d1252,constitute war discussion military project page stupid,1,0,0,0,0,0,toxic,1
48094,807f384eaa7883b7,bore stay sister catch vandal find,1,0,0,0,0,0,toxic,1
48131,80a1be14693a587b,die virgin matter big shithead change think hit big ban button,1,0,0,0,0,0,toxic,1
48132,80a32734548c78cd,opinion know opinion time fact happen agree soon make automatically guilty asinine proposition come talk jackassery abound,1,0,0,0,0,0,toxic,1
48153,80b069b2c1e9e769,definition genre warrior war shit add source genre exist push opinion fact destroy continue thwart,1,0,0,0,0,0,toxic,1
48155,80b38e20587d2e65,message machine somthing call dish washer problem mean follow stalker get violate rule threate support racieum,1,0,0,0,0,0,toxic,1
48282,810f9a220fa8b0e1,hate look reply refrence desk time angry insufficient deference give islam bad thing haoppen unstable violent,1,0,0,0,0,0,toxic,1
48289,81135fec47708150,vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit vomit,1,0,0,0,0,0,toxic,1
48295,811763dd8ef9ada8,look page verifiability guess claim correct proof say mother life wrong fan connect point blank fan guess mean unreliable believe sheet ban honest speculate liar,1,0,0,0,0,0,toxic,1
48326,812b073812773484,look raw guest host childish wrestle topic sick grow man devote life watch baste man pant pretend scrap enjoy watch randy orton glisten belly button atomic wedgie week amoebas keep pathetic excuse entertainment year die redkneck finally find real viable business day age people flea brain abysmal sit edit wikipedia minute day real surprise,1,0,0,0,0,0,toxic,1
48363,814702db7ffd8939,find article ridiculous trivium include,1,0,0,0,0,0,toxic,1
48369,814d06e122f9d7ee,pretty ugly gay anime fan,1,0,0,0,0,0,toxic,1
48380,8154e81593902da3,drop dead cancer wikipedia assume cancer rest world baby well precede unsigned comment add talk contrib,1,0,0,0,0,0,toxic,1
48416,816f6fefbf953951,prove major jerk thank prove point,1,0,0,0,0,0,toxic,1
48456,81895c9d8b84f915,anti american anti american hate americans usa wrong try point wikipedia anti americanism help,1,0,0,0,0,0,toxic,1
48498,81abf4b51ee2c4b2,bold textgreg thomas albuquerque new mexico gay,1,0,0,0,0,0,toxic,1
48520,81bdf209da29e7ce,penetrate dog user beback,1,0,0,0,0,0,toxic,1
48521,81bf3e86ddf1887b,twat twat,1,0,0,0,0,0,toxic,1
48556,81de738eee0c2837,hey shut know english know idea ghetto check gang aricle wikipedia type blood crip latin king ytoull find notice resion page delte complae,1,0,0,0,0,0,toxic,1
48564,81e2035ae91c7806,user page deletion december herbythyme talk contrib delete user vandalism offensive recently delete userpage claim vandalism think action improper page certainly create vandalism vandalize userpage offensive irrelevent armenian genocide page offensive grow grow pair ball grow brain grow heart,1,0,0,0,0,0,toxic,1
48567,81e2fd31d6972daa,raise mother fat think balance meal ham hand mother fat sing,1,0,0,0,0,0,toxic,1
48611,8201243d1adf8fba,adorable mutual fellatio,1,0,0,0,0,0,toxic,1
48668,822388f1f4407fee,word count measure encyclopedic value attend special school dumb able sort claim fuck word detail largely thing unencyclopedic value tell people write word fill wikipedia shit well ask article delete shit,1,0,0,0,0,0,toxic,1
48675,8227ea683684ed20,aid seriously terminal finally opportunity realise pathetic life complete inability constructive warrant bile hate feel sad feel way true honor,1,0,0,0,0,0,toxic,1
48758,825f43f32d62a34f,assure completely wikipedia come taunt absurd cruel,1,0,0,0,0,0,toxic,1
48811,8283eef6b9b86028,anybody harrasse,1,0,0,0,0,0,toxic,1
48860,82a08e2c22a7623c,apology jeremy jeremy recently derogatory remark refer explicity homosexuality sexual activity gender race object insert bodily cavity inability perform act fellatio satisfactory level comment demand orally consume fece perform fellatio unsatisfactory level list continue course fail cite source give proof behaviour ashamed extend apology explicit coarse language time conflcit definitely abuot productive manner demean name faggot nigger kike cocksucker faggot asshole son bitch faggot motherfucker etc sincerely embarassed behaviour reflect know inappropriateness accept apology know lifestyle mean comment take personally sincerely michelle rollins,1,0,0,0,0,0,toxic,1
48904,82c028ab79202509,stop fake administrator bother,1,0,0,0,0,0,toxic,1
48916,82c6ce37fe4da04d,youtube account real account moronic troll set account web username false ids childish attempt intimidate slur fake photo check join date currently investigation worry create account ask trouble real account upload music comedy anti bnp edl espouse particular movement political group ideology fact espouse equality fairness oppose unwarranted victimisation oppression minority hatred ignorance certain user like think soapbox spew racist misogynistic homophobic xenophobic hate fill gibberish bnpers course guilty aforementione apparently decision allow comment basically spam lazy insult illiterate ramble screech moron listen use channel forum mean anti free speech think ancestor fight fascism right freedom speech hate fill knuckle dragger abuse screech hate fill drivel bereft fact decency point actively encourage freedom speech let idiot speak make look far idiotic hope difference debate spamming insult listen preach happy debate debate consist side discuss view shout refuse listen channel right allow troll clone neo nazis racist hater round well right puke bile suppression freedom speech care look channel actively encourage debate choose eschew debate favour attempt belittle hurl abuse call uaf marxist far leave rapist paedophile absolutely basis libelous reality personal insult accuse foreigner bring family love mum insult accuse user believe person disagree misquote paraphrase cherry pick research questionable source research accept source belief lie accuse act claim win argument ignore point raise harp clone account username far right forum clone numerous time waffle deprive freedom speech insult allow right reply block channel basically goon tiny minority incredibly arrogant ignorant spiteful indecent amoral borderline illiterate joy sapper bnp edl neo nazis islamophobes extremist kkk wrong world try stop evolve motivation hatred ignorance prove label disagree communist uaf marxists liberals unbelievably fascist basis course lazy epithet group majority category opposition multitude individual leave right different colour skin belief sexuality class background etc majority basically youtube grant guttersnipe anonymity parade ignorance disgust ideal appear large group fool minority failure blame failure life ironically ancestor fight freedom treasure spit face ill inform erroneous indecent anti educational rant idiot post encourage debate bicker childish playground taunt interminable clown soapbox refuse listen possible viewpoint resort action year old sneer type incredibly easy expose job defeat shut majority fact common sense proclaim intelligent certainly majority int,1,0,0,0,0,0,toxic,1
48924,82ce3d410a6ad059,vandalism get message come visit site edit userpage sure hell,1,0,0,0,0,0,toxic,1
48929,82d0b73891e23a84,wikipedia joke sanchez article travesty work editor agent censor thing real eye opener know wikipedia business whitewash truth wow,1,0,0,0,0,0,toxic,1
48932,82d29fb6e774f636,deserve good trout slap stupid humour barnstar heh,1,0,0,0,0,0,toxic,1
49009,8308a0387330edb5,think clear choose talk actually attempt hijack wikipedia page add ridiculous amuse misinformation simply amusement prove original word paragraph countless hypocritical claim speculation subject argue respect dude fight legitimize misinformation respect cut chase give talk page shut fuck obnoxious little bitch,1,0,0,0,0,0,toxic,1
49057,83281a3656cbe467,murder jesus crucify palestinians people darfur,1,0,0,0,0,0,toxic,1
49087,833a47bd0d768730,albert einstine foorball player space alien jupiter actually homo denial fall love dad age later date einstine mad evil scientist plot destroy world murder hitler pain butt,1,0,0,0,0,0,toxic,1
49145,8363d736c4e0dda2,caspian mode operation transparent big problem deal caspian document caspian blue create noise distraction turn use layer attack attempt draw attention away prejudicial error google arbitrator situation search yonsei bring result yonsei university etc partial search result properly search yonsei word university provide far accurate result usage yonsei mean yonsei yonsei university yonsei university hospital journal call yonsei debate bogus poison,1,0,0,0,0,0,toxic,1
49194,837f36c83588a96a,gee mature response average admin year old manner grace year old lot ashamed,1,0,0,0,0,0,toxic,1
49230,83960c79eefc159f,coincidence notice wikibattle enter opposite jewish interest coincidence notice anti semitic pov material commentary hmmm stop abuse wikipedia encyclopedia home bigoted nonsense handle fact wikipedia legitimate scholarly work info people blog post phsycobabble,1,0,0,0,0,0,toxic,1
49248,83a45c3f8fda2e5a,hey attack wikipedian fact straight btw certain thing important damn stupid rule unimportant take truth consideration doubt mind people think wtc collapse cough cough fire debris show overall stupidity level people attack people look archive page moderator behave little child call people name ignore scientific fact physical law think censor truth prevent truth come american consider traitor country exactly truth finally come bumble fool wind life children life speak censor act treason shmuck mongo idiot tom harrison,1,0,0,0,0,0,toxic,1
49315,83dd78f1218a0b25,nonsense virgin fuck user talk page hell revert old version life thomas virgin keller surely sex,1,0,0,0,0,0,toxic,1
49323,83e37ee1eb4be93e,block sockpuppet,1,0,0,0,0,0,toxic,1
49357,83fd7f9e6312bf31,block life forever life indefinitely trashy dustbin trashy dustbin block life life indefinitely obviously see life reality carry edit page wikipedia big joke fact joker wikipedia unreliable piece crap world laugh think block user edit article wrongly write project good image grade item song sleaze actress payal rohatgi account edit write truth work medium know actual truth know well block account foolish audacity write journalist block anyways futile like remain block user future block say computer comment reply depend wish want respond idle loser time time remove time worthless people advice spend block time read dispute page wikipedia well idea deal dispute actually need well idea deal life foolish like spend time bother rubbish write stupid people work real life spend day edit page scribblebook bother read people unfortunate trouble call actress sleazy problem cos work press use precisely term reference work speak write accurate information wikipedia ironic bother find accurate spend endless hour block act admin important position life wait position probably unfortunate life carry scribble game feel threaten medium exposure show know wrong people wrong feel threaten pity personality end write clear journalist mean carry threat lol sad live illusion joker totally idle scribble away virtual page wiki scribble pedia obviously withdraw truth idea journalist write clear inane clown fool mean say article publish time let know busy person find time come scribble virtual page clown akeran managerarc fisherqueen yeah name suck kuru etc life find information depend godforsaken world live like time ahead block time care hoot silly block game life loser maybe time fish real life come remotely close life lol loserqueen grow life idle clown remain loser life care inane puerile loser life cos know good play edit block game scribblebook call wikipedia scribble care certainly time fish loserqueen bother check reply cos time idle loser loserqueen queen certainly huge fill trash dustbin pity unfortunate daft dustbin good close word daft dustbin like fish,1,0,0,0,0,0,toxic,1
49372,84076e82a02cb6f8,future decide wikipedia stupid project contribute project insist keep obvious bullshit article political correctness artificial promotion woman similar trend moronic consideration guy happy proud spread bullshit information age,1,0,0,0,0,0,toxic,1
49408,841f98ea5dd9ebb5,wikipedia play fluffer matt sanchez gay porn video award win think include videography appear flick list verify internet movie database internet adult movie database specific nature award list good ass wear cowboy hat award industry,1,0,0,0,0,0,toxic,1
49410,8421561fb0319a6a,pipe write bias write obsessive understand sort information actually belong encyclopedia write stereotypical teenager trust document style fit wikipedia write cut crap edit war people revert thing talk power censor talk like sound waste time nominate terrible article grow little think act mexican,1,0,0,0,0,0,toxic,1
49455,843c5c4ced1313e6,cumulus cloud block edit cause vandalize external link kircher case section external link kircher case perfect minimal edit useful respectful rule vandalize,1,0,0,0,0,0,toxic,1
49461,844294142ad16f0c,face,1,0,0,0,0,0,toxic,1
49464,8442f788a89da164,know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt know fggt,1,0,0,0,0,0,toxic,1
49487,845112d2d2c9743c,wow lawyer kind half assed lawyer believe innocent prove guilty,1,0,0,0,0,0,toxic,1
49488,84521fccf8febeea,agree think probably year old star trek nerd man live mom basement play nintendo,1,0,0,0,0,0,toxic,1
49495,84558cc6163540fb,satan satan satan satan rock,1,0,0,0,0,0,toxic,1
49565,848574a9bbc898db,oooo scary university computer block,1,0,0,0,0,0,toxic,1
49584,849116d8444eefa0,senseless clueless make false accuse,1,0,0,0,0,0,toxic,1
49629,84aec3f3cf6a3eaf,son mention rodgers page trial charge criminal charge exactly write reference sentence give undue weight story entirely ridiculous probably bias support lfc important story gain significant media attention rodger attend trial continue add care abuse discretionary power try ban know right bias cloud judgement shame,1,0,0,0,0,0,toxic,1
49673,84d4524c268f4eac,sock puppet remove cite material cite material replace delete previously source material regardless personal opinion contrary spirit policy wikipedia user history hostility stalk wikipedia,1,0,0,0,0,0,toxic,1
49734,84fa362596975381,pss rex sure document thing discover john kerry page etc awesome independently observe corrorborate virtually exactsame pattern liberal demonize conservative lionize liberal repeat infinitum nauseum proof easy persuade fellow brain dead truth hater red cent wikipedia wholesale change exactly happen liberal religion bad find church wikipedia practice faith huh hear rumor action send user hippocrite fred bauder woohookitty kizzle fvw derex especially pimply face year old redwolf verklempt know schedule appointement psychiatrist gynecologist big phase dry fund road,1,0,0,0,0,0,toxic,1
49745,84fe0d9437270d90,listen fagtard fact near universally centerfire rifle cartridge default design lack well term armor pierce opinion know political dick sucker cite ballistic datum suck bag dick change,1,0,0,0,0,0,toxic,1
49751,8504c26a752bfee3,epic fail freak block fail,1,0,0,0,0,0,toxic,1
49757,8508f1addad5fb99,unite kingdeom true brown penis place victoria coffin remove,1,0,0,0,0,0,toxic,1
49769,85110b74abce18a2,horrible horrible article odd article jean baptiste lamarck unstructured ramble mess duplicate lamarckism,1,0,0,0,0,0,toxic,1
49792,8525318875360d3e,burden dick laurent dead,1,0,0,0,0,0,toxic,1
49807,85335949a83ad6f1,obviously click link dumb instance happen morning merely replace write effort moderator notice clearly instead focusse tiny issue hand come rock look big picture,1,0,0,0,0,0,toxic,1
49808,85335ba38ef71976,long live fascist greek european union,1,0,0,0,0,0,toxic,1
49827,853c7518eebcc597,know finish main temple structure arrogant guy,1,0,0,0,0,0,toxic,1
49836,85425c143e603b11,like people call bullshit cut tongue precede unsigned comment add,1,0,0,0,0,0,toxic,1
49858,854d4eeef87967b2,guy bastard let fake quote,1,0,0,0,0,0,toxic,1
49887,8565b2214f671b64,county call learn history small greek fashist write possible,1,0,0,0,0,0,toxic,1
49895,856c5450ce58ac4e,shut leave,1,0,0,0,0,0,toxic,1
49902,856f6e6d22e5991e,message opinion alledy accuse personal attack cross line stay busniess rude little child,1,0,0,0,0,0,toxic,1
49922,857f0dcb9d9a5ac4,day notify editor dreamguy falsely call talk page clearly require response clearly dreamguy intent harass provoke reply,1,0,0,0,0,0,toxic,1
50006,85ab53dd9d45323d,quit probably quit let cunt win article way need edit revert stop let wikipedia happen real life try salute alex,1,0,0,0,0,0,toxic,1
50098,85e7c1e0630681aa,hey barefoot come guardian try rub kidney bite,1,0,0,0,0,0,toxic,1
50143,860089bbe5b1255b,hell know meter,1,0,0,0,0,0,toxic,1
50144,8601c54698a45907,stop vandalize wikipedia vandalize jerk mess article nonsense stop block,1,0,0,0,0,0,toxic,1
50149,86043d5627857725,manage squeeze ball leg act man frankly care hey college question positive know bite metal make think wonder come mean insult brush puzzle know say make think know consitere know level understand subject,1,0,0,0,0,0,toxic,1
50158,860a2d163ae7ccf2,hey say seat seat dumb learn read english soon administrator purge noble experiment,1,0,0,0,0,0,toxic,1
50163,860fbf3f458c1fad,know harrassment tell guideline act dick report talkcontribs,1,0,0,0,0,0,toxic,1
50164,861018489b31f0c2,man remove stuff add mad crap nolan,1,0,0,0,0,0,toxic,1
50174,861a1cace22be203,heyo obese boy heart struggle girth thing magic enjoy think create nice space picture pic walrus way wonder happen pour barbecue sauce ckatz guy friend doubtlessly see inside digestive system,1,0,0,0,0,0,toxic,1
50221,863d4a681519b7ca,hello freak stop censor page totalitarian hermaphrodite,1,0,0,0,0,0,toxic,1
50230,86445dfd0bc74df1,maybe admin stop dickhead delete article delete start bring,1,0,0,0,0,0,toxic,1
50239,864bfc61e112fca3,chuckle chuckle think sue mean llawer let win fight love xxxx,1,0,0,0,0,0,toxic,1
50251,8650ddf49b7109e8,dude hell incorrect information mice men band article way post hardcore metal austin carlile say multiple interview bryanstar crescendotv etc sort metal read alternative press interview point stick specific genre know metalcore metalcore start say stick metalcore rock element,1,0,0,0,0,0,toxic,1
50262,865c9770c7984cd6,welcome wikipedia brother abusive sockpuppet scar block,1,0,0,0,0,0,toxic,1
50271,866474c133705783,handzar divison division wwii crap article,1,0,0,0,0,0,toxic,1
50292,8672b109c78443a1,sexual congress goat,1,0,0,0,0,0,toxic,1
50307,867ed4376adc4d4b,wow cry baby guy mature seriously grow stop obsess kid,1,0,0,0,0,0,toxic,1
50378,86aa404fa1dad4d6,sorry reason troll freepsbane,1,0,0,0,0,0,toxic,1
50400,86c4a1abda45401f,handle shut well crawl womb friend,1,0,0,0,0,0,toxic,1
50468,86f212790af4e8ed,wonder uncivil stupid look block log block uncivility edit war sure block care block wrong basis wanna block block guy aswell block admin protect friend btw revert war recently sock day revert sock,1,0,0,0,0,0,toxic,1
50523,871b7ef0273ef3b7,hey douche,1,0,0,0,0,0,toxic,1
50524,871c0a1493ee699c,lol get catch right lose head minute forget lot people claim professional write wikipedia froth snap crap baby toy keep article add wikipedia joke thing problem,1,0,0,0,0,0,toxic,1
50567,873895379e6d270c,lanoitarus header crap user page,1,0,0,0,0,0,toxic,1
50572,873b2f09bc4941db,get chance state case little friend block chance defend permantly block lie dare threaten anymore tell civil civil horrible return,1,0,0,0,0,0,toxic,1
50576,873e336bafecef6f,ignorant post article discussion page,1,0,0,0,0,0,toxic,1
